dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,name,full_url_r,LA_numbers,NYC_numbers,Chicago_numbers
"Delaware, Hunterdon",/database/pd-dept/delaware-hunterdon,http://force.nj.com/database/pd-dept/delaware-hunterdon,,,,"Delaware, Hunterdon",http://force.nj.com/database/pd-dept/delaware-hunterdon,0,2,2
"Delran, Burlington",/database/pd-dept/delran-burlington,http://force.nj.com/database/pd-dept/delran-burlington,276%,25%,,"Delran, Burlington",http://force.nj.com/database/pd-dept/delran-burlington,0,15,16
"Demarest, Bergen",/database/pd-dept/demarest-bergen,http://force.nj.com/database/pd-dept/demarest-bergen,,,,"Demarest, Bergen",http://force.nj.com/database/pd-dept/demarest-bergen,0,1,1
"Denville, Morris",/database/pd-dept/denville-morris,http://force.nj.com/database/pd-dept/denville-morris,237%,40%,,"Denville, Morris",http://force.nj.com/database/pd-dept/denville-morris,0,8,8
"Deptford, Gloucester",/database/pd-dept/deptford-gloucester,http://force.nj.com/database/pd-dept/deptford-gloucester,181%,8%,,"Deptford, Gloucester",http://force.nj.com/database/pd-dept/deptford-gloucester,6,28,35
"Dover, Morris",/database/pd-dept/dover-morris,http://force.nj.com/database/pd-dept/dover-morris,33%,1%,,"Dover, Morris",http://force.nj.com/database/pd-dept/dover-morris,6,19,22
"Dumont, Bergen",/database/pd-dept/dumont-bergen,http://force.nj.com/database/pd-dept/dumont-bergen,74%,28%,,"Dumont, Bergen",http://force.nj.com/database/pd-dept/dumont-bergen,0,8,8
"Dunellen, Middlesex",/database/pd-dept/dunellen-middlesex,http://force.nj.com/database/pd-dept/dunellen-middlesex,10%,31%,,"Dunellen, Middlesex",http://force.nj.com/database/pd-dept/dunellen-middlesex,3,15,15
"East Brunswick, Middlesex",/database/pd-dept/east-brunswick-middlesex,http://force.nj.com/database/pd-dept/east-brunswick-middlesex,308%,3%,,"East Brunswick, Middlesex",http://force.nj.com/database/pd-dept/east-brunswick-middlesex,2,45,45
"East Greenwich, Gloucester",/database/pd-dept/east-greenwich-gloucester,http://force.nj.com/database/pd-dept/east-greenwich-gloucester,340%,39%,,"East Greenwich, Gloucester",http://force.nj.com/database/pd-dept/east-greenwich-gloucester,0,5,6
"East Hanover, Morris",/database/pd-dept/east-hanover-morris,http://force.nj.com/database/pd-dept/east-hanover-morris,,54%,,"East Hanover, Morris",http://force.nj.com/database/pd-dept/east-hanover-morris,0,4,5
"East Newark, Hudson",/database/pd-dept/east-newark-hudson,http://force.nj.com/database/pd-dept/east-newark-hudson,,,,"East Newark, Hudson",http://force.nj.com/database/pd-dept/east-newark-hudson,0,1,2
"East Orange, Essex",/database/pd-dept/east-orange-essex,http://force.nj.com/database/pd-dept/east-orange-essex,238%,454%,,"East Orange, Essex",http://force.nj.com/database/pd-dept/east-orange-essex,13,113,114
"East Rutherford, Bergen",/database/pd-dept/east-rutherford-bergen,http://force.nj.com/database/pd-dept/east-rutherford-bergen,113%,39%,,"East Rutherford, Bergen",http://force.nj.com/database/pd-dept/east-rutherford-bergen,0,9,9
"East Windsor, Mercer",/database/pd-dept/east-windsor-mercer,http://force.nj.com/database/pd-dept/east-windsor-mercer,125%,46%,,"East Windsor, Mercer",http://force.nj.com/database/pd-dept/east-windsor-mercer,2,17,18
"Eastampton, Burlington",/database/pd-dept/eastampton-burlington,http://force.nj.com/database/pd-dept/eastampton-burlington,,,,"Eastampton, Burlington",http://force.nj.com/database/pd-dept/eastampton-burlington,0,4,4
"Eatontown, Monmouth",/database/pd-dept/eatontown-monmouth,http://force.nj.com/database/pd-dept/eatontown-monmouth,482%,2%,,"Eatontown, Monmouth",http://force.nj.com/database/pd-dept/eatontown-monmouth,4,18,21
"Edgewater Park, Burlington",/database/pd-dept/edgewater-park-burlington,http://force.nj.com/database/pd-dept/edgewater-park-burlington,107%,3%,,"Edgewater Park, Burlington",http://force.nj.com/database/pd-dept/edgewater-park-burlington,0,11,11
"Edgewater, Bergen",/database/pd-dept/edgewater-bergen,http://force.nj.com/database/pd-dept/edgewater-bergen,4%,25%,,"Edgewater, Bergen",http://force.nj.com/database/pd-dept/edgewater-bergen,1,14,14
"Edison, Middlesex",/database/pd-dept/edison-middlesex,http://force.nj.com/database/pd-dept/edison-middlesex,161%,5%,,"Edison, Middlesex",http://force.nj.com/database/pd-dept/edison-middlesex,6,91,93
"Egg Harbor City, Atlantic",/database/pd-dept/egg-harbor-city-atlantic,http://force.nj.com/database/pd-dept/egg-harbor-city-atlantic,239%,154%,,"Egg Harbor City, Atlantic",http://force.nj.com/database/pd-dept/egg-harbor-city-atlantic,0,9,12
